Equipment Condition,Number of Equipment,Equipment Service Time,Materials Quantity,Materials Transport Environment,Materials Procurement,Worker Capability,Worker Sense of Responsibility,Worker Health,Worker Experience,Worker Education,Worker Training,Worker Expertise,Worker Motivation,Worker Attitude,Work Space,Prefabrication,Working Field Accessibility,Advance Work,Work Method,Work Environment,Crew Composition,Work Difficulty,Work Quantity,Manager Capability,Management System,Construction Plan,Design Documents,Permission,Work Order,Claim,Safety/Accidents,Work Delay,Rework,Work Continuity,Information Technology,Productivity,Productivity
5,4,5,2,2,5,1,2,1,1,5,2,1,5,3,3,3,2,4,5,3,3,4,4,3,2,5,5,3,5,2,2,1,3,4,1,43.68,43.68
4,3,5,2,1,2,2,4,3,4,3,3,2,3,2,1,4,1,5,1,2,3,3,2,2,4,3,1,3,4,4,3,4,2,1,5,40.043,40.043
4,2,4,5,3,3,3,5,5,5,4,2,4,3,5,2,4,5,1,2,5,4,5,5,3,5,5,5,3,5,3,1,1,4,5,1,51.631,51.631
2,3,2,1,5,4,5,4,1,3,1,5,3,4,4,2,3,3,3,5,1,1,5,2,4,3,4,5,4,1,4,5,3,1,5,3,45.326,45.326
2,1,2,3,2,2,1,5,4,4,5,3,4,2,4,1,5,3,1,5,3,4,2,3,5,4,1,1,1,2,5,3,4,1,2,4,42.297,42.297
3,2,3,2,2,2,1,4,3,4,2,4,2,4,1,1,4,4,3,2,1,3,1,4,4,5,4,3,4,1,4,1,3,2,5,4,40.91,40.91
3,3,2,2,2,1,3,1,3,5,4,2,5,2,4,2,1,1,3,4,1,3,3,4,3,1,4,4,5,3,4,5,5,3,5,5,45.301,45.301
5,3,4,5,3,3,3,3,1,5,1,2,4,5,5,3,1,2,3,1,4,2,1,5,3,1,5,1,3,1,4,4,1,5,5,5,44.703,44.703
5,3,3,1,4,3,2,5,5,3,2,5,2,2,1,5,2,1,3,4,1,4,5,5,4,4,5,3,5,3,3,2,2,4,3,2,46.076,46.076
5,2,3,5,4,5,4,2,5,3,1,2,3,2,4,1,2,5,4,4,5,4,3,2,1,2,4,1,4,3,3,2,1,2,5,2,42.918,42.918
1,4,4,1,4,1,1,3,1,3,3,1,1,2,5,2,4,4,1,4,3,3,5,1,2,3,2,1,1,4,2,2,3,3,4,2,37.287,37.287
4,4,1,4,2,2,1,1,4,2,3,2,2,1,2,5,3,4,5,1,1,4,4,5,5,2,3,1,3,4,4,4,4,3,2,5,43.497,43.497
3,5,2,1,1,5,1,4,4,3,4,5,2,1,5,2,4,2,2,2,5,3,3,2,3,5,3,3,3,5,5,5,2,1,3,4,45.342,45.342
3,3,5,1,4,3,5,5,4,5,4,5,4,1,5,3,3,4,5,4,5,5,3,2,3,5,1,4,2,1,1,2,5,5,3,3,50.363,50.363
5,2,3,1,5,4,1,5,3,3,5,4,1,1,2,1,3,5,1,4,4,2,3,2,4,4,1,5,4,1,1,5,1,5,1,3,41.25,41.25
3,2,1,2,2,3,2,1,4,1,5,2,3,5,5,1,4,4,5,2,3,4,4,2,4,4,5,2,2,2,3,5,5,4,4,1,44.301,44.301
5,4,3,3,4,5,4,2,1,3,4,2,3,3,2,5,3,4,1,2,2,1,1,4,5,4,1,4,2,3,3,4,3,1,4,1,41.485,41.485
2,4,2,1,5,4,3,1,4,3,1,2,5,1,4,4,3,5,3,2,2,1,2,3,3,5,2,5,1,4,3,3,5,3,3,4,43.297,43.297
4,5,5,2,4,5,4,1,4,2,3,3,4,5,4,1,2,5,5,2,1,2,5,1,1,2,3,3,4,4,1,3,5,4,1,2,42.442,42.442
1,3,5,5,3,1,5,4,3,1,3,2,3,4,1,2,1,4,4,4,5,4,5,2,4,2,3,3,5,5,3,5,5,4,2,5,48.295,48.295
3,3,3,2,2,5,3,3,1,4,4,3,2,1,2,4,2,3,5,1,2,2,2,1,4,1,1,2,3,4,1,4,2,4,4,2,37.536,37.536
3,3,5,3,4,5,1,1,2,3,3,3,2,1,1,4,2,2,2,5,3,2,2,3,4,2,2,5,4,3,2,2,3,2,4,3,40.344,40.344
1,1,3,3,5,5,3,1,4,5,3,3,5,4,4,2,3,3,1,3,3,5,3,5,5,3,3,4,3,4,3,4,5,2,1,4,47.402,47.402
2,5,2,5,5,1,3,1,3,2,2,3,3,4,4,5,3,2,5,3,5,4,3,3,1,3,5,2,4,1,1,1,3,2,2,2,41.811,41.811
1,1,2,4,4,3,5,3,5,5,2,4,3,3,3,4,1,5,3,1,3,2,5,5,5,3,1,1,4,5,4,1,2,2,5,1,43.567,43.567
5,2,5,5,4,5,1,2,2,1,3,5,5,1,3,2,2,5,1,1,2,3,4,4,2,4,2,3,5,4,5,2,2,2,5,5,44.971,44.971
2,4,1,5,4,3,4,3,3,1,1,3,3,5,1,3,4,5,3,5,2,1,2,3,4,3,1,5,3,2,1,1,5,1,1,5,40.587,40.587
1,4,2,3,4,1,1,4,5,4,4,2,1,3,4,4,3,4,5,1,2,2,2,5,2,5,3,1,3,5,2,5,4,4,3,3,44.438,44.438
4,3,5,4,4,3,4,4,4,4,5,1,1,4,4,2,2,4,3,3,1,1,4,5,2,1,1,2,3,2,4,5,5,1,3,2,42.606,42.606
5,3,2,2,4,1,4,4,4,3,2,1,5,3,5,4,1,1,3,1,4,4,2,1,1,4,1,2,2,2,4,5,3,2,1,1,38.063,38.063
1,1,5,4,5,4,3,5,4,3,5,3,2,3,2,1,3,3,2,5,3,2,1,1,5,4,4,5,4,4,4,2,1,5,3,4,45.338,45.338
2,5,2,5,4,4,4,2,3,5,4,4,1,1,5,1,1,1,3,1,3,5,4,1,1,1,5,4,2,4,4,3,5,5,2,1,42.087,42.087
3,2,5,2,4,1,2,5,2,2,5,3,3,3,2,2,3,2,4,3,3,5,5,1,5,1,1,4,4,2,5,3,1,2,2,5,42.761,42.761
2,4,5,5,1,5,2,4,2,3,1,1,5,3,4,1,5,5,5,1,1,4,3,1,3,3,1,1,5,1,3,4,1,3,3,3,40.885,40.885
2,4,2,1,3,5,5,4,2,2,3,5,5,5,5,4,5,3,1,5,4,1,4,3,1,3,4,2,5,2,2,4,1,2,5,4,47.503,47.503
2,2,3,1,4,4,4,2,2,5,2,3,3,3,1,2,4,3,5,2,5,3,4,4,2,2,3,5,4,2,3,4,3,5,2,3,44.567,44.567
2,5,5,3,3,1,1,4,4,1,1,4,5,5,4,3,1,5,1,3,3,2,2,2,5,4,1,5,1,1,2,1,5,2,3,4,41.014,41.014
3,5,3,1,2,1,5,5,1,4,5,4,3,3,4,2,4,4,4,4,1,3,2,2,3,3,2,5,2,5,3,3,4,2,5,5,46.974,46.974
4,4,4,4,4,1,5,2,2,2,4,5,1,2,5,2,2,4,1,3,3,1,2,3,2,1,1,1,1,1,5,4,5,3,1,3,38.095,38.095
3,5,3,3,5,4,5,2,5,2,3,2,5,3,3,5,5,5,4,3,4,5,2,4,2,2,4,4,2,3,3,4,2,1,3,3,48.743,48.743
3,5,4,1,5,5,2,4,5,4,4,4,4,3,2,5,4,5,3,3,2,3,5,2,4,3,1,5,4,5,3,4,5,5,3,4,52.919,52.919
2,1,1,5,1,5,2,1,3,5,3,5,2,2,1,3,3,4,4,2,5,2,1,1,3,5,3,2,1,1,2,2,1,1,5,1,36.412,36.412
5,3,5,2,3,1,1,1,2,2,5,4,5,3,2,3,4,4,1,2,2,4,4,3,3,4,5,1,5,2,3,4,4,4,3,1,43.688,43.688
4,3,2,1,1,1,1,5,2,4,1,3,1,1,2,4,2,2,1,1,5,1,2,1,3,3,5,5,4,3,3,1,5,5,3,3,38.148,38.148
2,3,4,4,4,4,5,1,1,4,1,3,2,3,1,4,1,2,5,1,3,4,1,1,2,4,5,3,1,5,3,3,1,1,1,2,36.923,36.923
4,3,3,3,5,3,5,4,5,5,5,1,4,2,1,4,3,3,4,2,2,2,3,5,5,2,5,4,2,3,4,5,4,5,4,2,49.736,49.736
1,1,3,1,2,2,4,3,5,2,1,1,1,1,4,1,2,3,4,5,2,4,5,3,3,1,4,5,3,5,4,1,2,5,2,3,39.671,39.671
2,3,2,5,5,2,4,1,5,5,2,1,1,2,1,3,5,3,3,3,4,1,1,2,5,4,3,3,5,2,5,1,2,4,5,3,43.132,43.132
3,3,3,4,3,5,1,2,3,1,4,2,4,3,5,4,4,3,1,4,4,2,5,1,4,2,1,5,4,4,5,3,1,1,5,3,44.814,44.814
4,5,1,5,2,2,5,4,1,3,5,5,4,2,3,5,5,1,3,4,5,4,3,5,3,1,3,2,3,4,4,3,2,1,2,4,47.517,47.517
1,3,3,4,2,4,1,1,2,5,1,4,3,3,1,4,2,5,1,5,5,1,2,5,3,4,4,4,3,2,1,2,4,2,1,4,41.417,41.417
3,1,4,1,4,4,1,1,5,3,1,3,2,1,3,4,5,3,1,5,3,4,3,1,1,1,2,3,3,3,3,2,1,4,4,3,39.026,39.026
4,5,4,4,4,4,2,5,5,2,5,1,1,3,2,4,2,1,3,1,1,1,5,5,5,2,5,5,3,4,2,3,2,2,4,2,43.721,43.721
3,5,2,1,2,5,4,5,5,1,2,2,3,3,2,5,3,2,2,3,1,5,5,2,5,1,2,3,4,1,1,1,2,4,5,2,41.644,41.644
1,1,4,2,1,4,2,3,5,1,2,5,4,3,4,3,2,4,3,4,3,1,4,3,3,1,2,2,1,5,4,4,5,4,3,2,41.567,41.567
3,1,5,5,4,4,5,5,4,1,3,1,4,4,4,5,1,2,4,3,5,4,1,4,4,3,4,3,4,1,5,2,2,3,2,4,46.896,46.896
2,1,5,4,4,2,2,4,2,1,5,2,1,5,5,2,1,5,4,3,1,4,3,4,2,1,4,1,1,2,1,4,4,5,2,1,38.967,38.967
1,4,2,4,2,3,1,1,1,5,1,3,1,2,5,3,3,4,3,4,3,1,3,3,5,3,1,5,5,5,2,5,3,2,2,5,42.944,42.944
4,2,4,4,5,1,3,2,2,5,2,3,4,5,3,3,4,1,2,3,3,3,2,5,3,3,2,5,2,3,3,4,1,2,4,4,44.363,44.363
3,3,1,1,4,3,4,4,3,3,3,2,4,4,1,4,4,4,3,4,2,1,5,3,2,3,3,2,5,4,3,3,2,1,2,3,42.189,42.189
5,1,2,5,1,5,2,1,1,2,1,2,3,4,5,3,3,1,4,3,4,2,3,4,4,1,5,1,3,1,2,1,2,4,3,5,39.966,39.966
2,2,5,1,1,2,4,1,4,2,1,3,1,4,4,1,2,3,3,2,4,4,2,2,5,4,3,3,3,1,2,1,4,5,1,4,38.151,38.151
5,3,3,4,3,4,2,1,2,3,4,2,1,3,5,4,5,4,4,3,1,3,2,4,3,4,1,5,5,1,2,2,5,2,3,5,45.354,45.354
4,3,3,4,4,1,2,3,2,1,1,4,3,3,5,3,4,1,2,2,2,5,1,4,1,1,2,5,4,3,3,5,3,2,5,1,40.224,40.224
4,2,5,4,3,4,2,1,3,5,3,3,2,3,4,5,4,5,5,1,1,3,2,4,1,2,1,4,2,4,3,5,3,3,4,4,45.427,45.427
5,1,5,2,4,4,5,3,5,1,3,2,4,2,1,1,2,5,2,3,2,3,3,3,1,5,3,5,4,3,3,4,5,3,5,1,43.94,43.94
4,5,2,5,3,2,5,3,1,4,3,2,1,4,4,3,4,5,4,2,1,1,4,5,2,5,3,5,4,2,4,4,5,1,2,3,46.162,46.162
2,5,2,2,5,5,5,5,3,2,3,2,4,4,1,2,3,2,5,1,2,5,2,5,4,4,5,4,1,5,1,5,5,4,5,3,48.804,48.804
4,5,4,4,2,5,4,5,4,4,2,1,3,2,5,2,5,3,1,5,2,4,5,5,4,1,3,1,3,5,1,3,2,4,1,4,46.702,46.702
4,3,2,5,3,3,2,1,4,1,2,4,3,2,3,2,2,4,2,5,2,2,4,5,1,5,5,5,5,5,3,5,2,1,5,5,46.879,46.879
5,3,3,1,2,4,5,1,1,3,1,1,3,2,5,2,5,3,5,4,2,2,1,5,5,1,2,1,4,4,4,2,2,4,1,4,40.742,40.742
5,1,5,1,5,2,4,4,2,1,5,5,5,5,3,1,5,5,3,2,3,3,1,1,2,4,1,4,5,1,2,4,3,2,2,1,41.105,41.105
1,5,2,2,4,3,1,2,1,4,1,3,3,5,4,1,2,2,3,2,4,2,4,5,1,2,4,3,1,2,1,1,1,2,4,4,37.17,37.17
5,4,1,1,4,3,1,3,3,5,4,4,2,5,2,1,4,5,4,2,4,4,1,5,3,2,5,3,3,5,2,2,4,4,2,3,45.229,45.229
2,4,3,1,3,5,5,1,5,1,5,4,4,1,3,1,3,5,2,4,5,4,5,2,2,3,3,4,2,2,4,3,5,4,2,1,44.652,44.652
1,2,3,5,2,2,1,4,5,2,3,1,4,1,4,5,4,4,4,5,3,2,1,5,1,5,4,4,1,2,5,5,1,5,1,4,45.249,45.249
2,5,4,1,5,2,1,2,4,3,2,5,4,1,5,3,3,4,2,5,1,5,3,2,3,5,3,4,1,5,2,5,5,4,2,4,47.126,47.126
4,3,5,5,4,4,2,5,2,5,4,3,2,1,4,2,4,5,3,2,3,4,3,4,4,5,1,2,2,4,3,4,1,4,1,4,46.578,46.578
4,3,4,5,4,2,1,5,4,3,4,5,4,5,3,4,2,2,5,3,5,4,1,3,1,4,1,3,1,1,1,5,4,2,4,4,46.255,46.255
4,5,3,4,4,2,3,1,3,3,3,3,2,3,3,5,4,3,1,4,2,3,3,5,4,2,2,2,1,5,5,1,5,4,3,2,44.729,44.729
5,5,3,1,1,4,2,4,5,4,5,4,2,3,1,1,2,2,2,4,3,4,5,5,3,5,4,3,3,1,5,5,2,5,5,1,47.687,47.687
1,2,2,2,4,3,5,4,4,1,2,5,1,4,4,5,4,5,4,3,5,5,3,1,5,1,4,1,5,3,3,3,2,5,1,1,44.391,44.391
2,1,1,1,3,4,4,4,2,3,1,4,1,1,5,1,4,2,2,4,5,2,2,4,1,2,1,5,4,4,1,5,1,4,1,3,37.864,37.864
3,2,2,5,2,1,4,5,2,2,4,3,2,1,4,2,2,3,1,2,2,1,5,5,2,5,5,5,3,2,1,5,2,2,5,4,42.69,42.69
4,5,3,4,2,1,5,1,1,4,2,5,3,5,3,4,4,5,3,5,1,4,5,2,3,5,4,4,4,5,2,4,5,4,2,5,51.575,51.575
5,1,2,3,3,2,3,4,5,3,5,4,2,3,1,2,2,4,3,3,1,5,3,3,4,1,1,2,2,1,2,4,1,1,2,5,38.74,38.74
5,4,1,3,1,4,2,3,5,1,2,5,3,1,5,4,5,4,2,2,2,1,4,5,3,2,2,1,2,5,1,2,2,5,1,4,41.017,41.017
4,3,2,1,4,3,1,1,4,1,3,3,3,4,5,1,3,3,3,4,3,3,1,4,5,1,4,3,3,3,2,1,5,4,4,2,40.85,40.85
3,1,5,3,4,3,1,2,4,2,2,1,5,4,5,4,2,2,3,3,1,2,4,1,5,3,4,3,1,1,4,2,2,3,4,4,41.172,41.172
3,3,5,2,5,4,3,2,3,1,3,3,5,3,4,2,5,3,3,5,5,1,5,2,2,3,1,1,3,3,4,2,5,5,3,3,45.801,45.801
3,2,1,5,4,1,1,4,4,2,1,2,4,3,5,3,4,4,3,4,1,1,1,3,5,1,4,5,3,2,2,3,4,3,3,4,41.522,41.522
1,4,5,2,3,3,4,2,2,4,2,1,5,5,1,3,1,3,5,1,2,1,1,3,4,4,2,4,4,3,5,4,2,1,1,4,39.856,39.856
5,1,4,2,4,3,4,4,4,4,4,5,5,1,1,4,1,1,3,1,3,2,1,4,2,5,1,4,5,4,3,1,5,3,1,4,42.498,42.498
2,5,3,3,1,1,1,2,4,2,3,4,4,5,4,1,2,4,1,2,5,1,5,1,1,5,3,2,4,4,2,5,5,4,3,3,42.679,42.679
4,3,5,3,2,1,5,5,1,2,1,1,5,4,1,2,3,5,1,2,3,1,2,5,5,2,3,2,3,1,5,3,2,5,1,5,41.207,41.207
5,5,2,2,5,3,4,3,5,1,1,2,4,3,4,4,5,3,4,3,2,1,1,4,4,1,5,2,3,4,2,5,2,5,2,4,44.883,44.883
5,1,3,5,1,3,2,2,4,4,2,3,5,3,1,4,5,1,5,1,3,3,3,3,5,3,3,4,1,3,1,2,2,4,2,2,41.038,41.038
3,3,3,2,3,5,4,2,3,2,2,3,2,2,2,5,4,4,3,5,2,2,3,5,4,1,5,5,2,4,1,2,1,4,3,4,44.041,44.041
4,1,1,3,4,5,1,1,3,5,5,5,4,4,5,3,3,5,3,1,4,5,5,5,2,5,4,4,3,1,5,5,2,3,2,3,49.821,49.821
1,4,3,4,3,1,4,1,1,3,2,4,4,5,3,2,5,1,3,1,3,3,5,1,1,3,3,5,1,4,4,4,5,5,2,2,42.309,42.309
3,4,4,5,3,1,2,2,4,5,1,4,4,3,3,5,5,5,3,3,5,2,5,3,5,4,3,2,2,2,4,2,3,5,2,3,48.685,48.685
4,3,4,1,3,2,3,1,2,5,2,1,3,2,4,4,2,4,2,1,5,5,5,3,4,1,2,3,2,2,3,5,4,3,5,2,43.797,43.797
1,2,1,4,2,3,5,2,4,1,5,1,5,5,1,5,3,1,2,5,5,3,2,1,4,3,1,1,4,2,4,2,4,4,5,3,43.429,43.429
3,5,5,5,3,2,1,3,1,5,5,4,1,1,2,2,4,3,3,3,5,5,4,4,2,1,5,4,2,3,2,2,1,1,3,3,43.222,43.222
4,5,4,4,5,3,1,3,2,1,2,1,4,3,2,5,3,1,4,3,4,5,5,3,2,5,4,3,3,1,1,3,1,5,5,3,46.125,46.125
3,5,4,3,1,4,1,5,1,5,1,1,4,4,3,3,1,1,5,1,2,4,4,3,5,5,2,1,4,5,3,3,5,2,2,3,43.529,43.529
4,4,4,1,3,3,4,4,1,3,3,5,5,1,4,4,5,1,1,4,3,3,3,5,5,5,2,3,3,4,3,1,1,3,5,3,46.773,46.773
1,3,4,3,3,2,2,1,3,2,3,3,2,2,3,4,4,1,4,2,4,4,5,3,5,3,4,4,1,5,5,2,2,5,5,5,46.93,46.93
1,4,1,3,2,3,4,2,5,3,4,5,4,5,4,4,4,3,3,5,5,3,3,1,3,3,5,4,1,3,3,4,2,5,5,1,48.137,48.137
1,1,4,3,5,2,2,4,2,3,4,1,1,1,2,2,5,4,1,2,2,3,3,3,5,1,4,2,4,1,1,1,2,2,3,4,36.532,36.532
1,2,2,2,3,5,3,2,5,4,2,2,4,5,2,3,3,5,5,1,4,3,4,2,1,5,2,2,3,1,4,4,3,4,4,5,45.633,45.633
3,2,5,3,2,1,1,3,1,5,5,4,5,1,4,5,2,3,2,4,1,1,2,3,5,4,1,1,3,3,1,5,5,3,2,1,40.641,40.641
3,2,1,4,2,4,3,5,4,2,3,4,3,1,4,1,2,4,5,4,3,5,2,3,2,4,1,3,5,1,2,1,2,4,4,5,43.381,43.381
2,5,5,2,2,1,4,4,1,1,2,5,4,2,1,2,4,3,4,3,2,4,1,1,5,1,2,5,1,4,1,1,3,2,5,5,39.869,39.869
5,4,4,4,2,1,1,3,1,1,1,3,2,1,4,5,2,1,1,1,3,4,4,2,4,3,2,1,3,4,1,4,1,4,2,2,36.363,36.363
1,2,2,1,3,1,2,3,2,4,3,4,2,4,5,1,3,4,3,2,1,5,3,5,3,5,4,2,5,4,3,5,5,3,5,3,45.89,45.89
5,1,4,4,2,4,4,3,2,5,4,1,1,1,1,5,3,4,2,5,2,2,3,1,4,5,4,3,4,3,1,5,5,3,2,3,44.648,44.648
1,3,5,1,4,1,2,4,4,1,3,4,5,1,1,4,2,5,2,1,5,1,2,5,4,3,4,2,3,5,3,5,2,2,2,1,40.245,40.245
3,4,3,3,1,2,4,2,3,3,2,1,2,4,2,4,1,5,5,1,3,5,2,5,3,5,4,3,2,1,1,4,5,2,2,4,42.905,42.905
5,5,3,5,3,1,5,5,5,3,4,1,4,5,4,4,2,4,3,3,4,4,4,4,4,4,1,2,5,3,3,2,1,3,1,3,47.677,47.677
2,1,4,3,2,5,3,3,1,5,4,5,2,3,2,2,4,4,1,5,5,3,4,4,5,1,3,5,2,2,3,3,3,4,4,2,45.9,45.9
4,5,2,4,3,3,3,1,3,1,4,2,2,4,4,1,1,2,5,1,4,4,2,3,5,3,3,1,3,2,2,1,2,1,5,4,39.386,39.386
2,4,3,2,4,3,3,4,2,3,5,1,4,5,1,2,1,2,3,1,3,5,3,1,1,4,4,3,2,1,4,2,5,2,3,2,39.843,39.843
4,1,4,5,2,3,3,5,1,4,1,2,1,2,4,2,1,3,5,3,1,1,1,2,1,1,3,2,2,3,3,5,2,4,2,3,35.817,35.817
2,4,3,5,2,1,3,5,1,4,4,2,3,3,5,3,1,2,4,2,1,2,4,5,1,4,5,1,5,3,3,5,4,2,1,1,41.639,41.639
2,4,5,3,5,5,4,1,4,4,4,1,5,4,3,3,4,4,5,4,3,3,4,4,3,4,2,4,1,2,1,2,2,3,3,4,47.384,47.384
2,1,2,5,2,5,5,1,2,1,3,5,4,3,2,3,4,2,5,2,3,1,5,2,5,4,2,1,4,4,2,4,5,1,2,2,41.509,41.509
4,1,1,4,3,3,1,5,4,3,4,5,4,3,1,4,2,5,3,5,1,5,2,2,3,1,2,5,3,2,5,5,3,1,3,3,44.204,44.204
3,5,4,2,1,3,5,2,4,2,4,2,3,5,4,4,3,1,1,4,5,4,2,3,3,5,2,4,3,4,2,5,3,5,4,1,46.802,46.802
5,1,1,4,2,3,4,4,2,3,2,3,2,5,4,2,3,4,3,4,2,1,1,2,1,5,3,4,4,4,2,4,5,4,3,1,41.729,41.729
2,2,5,3,4,4,1,3,1,2,1,3,3,3,3,2,2,3,3,5,2,3,4,5,4,5,3,1,4,2,4,2,1,3,5,2,42.197,42.197
1,3,3,2,2,5,3,3,1,1,3,3,1,2,1,3,5,4,5,4,2,5,3,1,5,1,1,2,2,1,5,2,3,3,2,3,38.88,38.88
3,3,5,2,2,1,3,3,5,2,2,5,2,5,1,3,5,4,4,5,1,5,2,3,3,4,5,5,5,5,1,4,3,1,5,2,46.955,46.955
1,2,3,3,5,3,5,5,4,1,4,4,3,1,1,1,4,4,5,3,1,3,3,4,2,2,4,4,4,3,5,3,5,5,3,4,46.164,46.164
1,2,4,1,1,1,4,3,2,1,2,2,1,5,5,1,5,3,3,5,1,1,1,4,1,4,5,4,2,3,4,2,1,4,1,1,35.65,35.65
5,2,5,2,5,3,2,1,2,5,2,1,4,1,4,3,1,1,1,4,5,2,1,2,5,3,4,2,1,3,2,4,5,1,5,3,41.062,41.062
3,5,2,1,5,4,2,2,4,2,3,2,2,4,1,1,3,5,3,2,5,5,4,4,2,2,1,3,5,1,3,4,1,4,1,1,40.017,40.017
2,3,3,2,2,2,1,3,1,4,5,3,4,4,3,4,1,4,3,4,5,3,2,5,1,1,4,2,3,1,3,5,3,4,5,4,45.048,45.048
5,2,5,1,2,1,4,3,5,2,1,2,3,2,1,4,1,2,4,1,4,4,1,1,5,1,1,1,3,5,4,2,1,1,1,2,33.807,33.807
3,3,5,1,3,3,2,5,4,1,3,4,3,4,1,2,3,5,3,2,4,3,5,1,2,2,5,4,3,1,2,2,5,4,5,3,44.132,44.132
2,5,5,5,3,2,2,2,3,3,1,5,3,3,3,3,5,1,5,3,1,3,3,4,5,1,3,2,1,1,1,4,2,5,2,3,41.429,41.429
3,2,4,3,2,1,5,2,4,3,1,4,5,5,1,1,1,4,5,1,1,3,3,4,5,2,2,5,2,3,4,2,5,1,2,2,39.483,39.483
4,4,4,4,2,1,2,1,3,5,4,3,4,5,5,3,4,1,4,5,4,1,4,1,5,1,4,1,4,1,1,4,5,2,1,1,42.294,42.294
1,4,1,4,1,1,4,2,5,3,4,4,5,1,3,1,3,3,3,5,2,5,3,2,2,2,4,2,5,1,4,1,2,5,1,2,40.162,40.162
4,1,2,4,1,3,5,3,4,5,4,1,5,1,4,2,4,3,5,2,1,3,1,2,2,5,4,3,2,5,2,2,4,1,2,3,41.246,41.246
3,5,4,1,5,1,1,3,2,4,1,1,4,2,2,1,2,2,4,2,3,5,1,4,5,1,1,2,1,5,5,1,3,4,3,5,39.886,39.886
3,1,3,3,1,1,5,2,2,5,3,4,4,1,5,4,5,4,3,5,2,3,5,5,4,4,1,3,3,2,4,1,1,2,5,5,47.085,47.085
2,5,5,3,3,2,5,5,4,5,5,2,5,1,1,4,2,3,5,2,1,2,4,3,2,4,1,1,1,3,4,1,3,4,2,3,42.708,42.708
1,2,5,4,2,4,5,1,5,2,1,2,2,5,4,1,1,3,3,5,4,4,2,2,3,1,1,3,5,3,4,4,5,4,1,1,40.618,40.618
5,3,2,2,4,5,1,3,3,1,4,5,5,1,4,3,5,3,1,4,1,4,2,4,3,2,3,2,1,2,1,1,4,1,4,5,41.78,41.78
5,4,4,5,4,5,2,1,2,4,4,3,2,1,2,4,1,2,4,3,1,3,4,4,1,2,3,4,1,3,1,3,5,1,4,4,42.279,42.279
1,1,3,5,3,3,2,2,4,4,1,5,3,5,4,2,1,2,4,1,2,5,2,4,1,2,1,4,5,4,2,1,2,4,2,1,37.751,37.751
2,4,3,1,1,4,5,2,4,2,5,3,3,1,1,1,1,3,1,5,2,2,1,4,3,1,3,1,4,3,1,5,5,1,4,1,36.472,36.472
5,2,5,4,2,3,1,2,1,4,3,5,3,3,2,3,4,1,1,1,4,1,1,3,3,5,2,4,2,2,2,3,4,3,2,2,38.513,38.513
1,3,2,5,3,2,2,4,3,1,1,4,4,2,5,3,2,5,1,4,1,5,2,1,2,1,2,2,3,3,2,5,2,1,3,4,38.357,38.357
3,1,1,3,5,3,1,5,4,3,5,5,1,4,4,1,5,2,3,2,3,3,2,1,3,1,1,4,5,4,2,5,5,2,2,4,42.203,42.203
3,2,4,3,3,1,4,4,2,3,2,2,4,1,2,2,1,4,4,2,5,3,3,2,1,3,5,3,5,3,2,2,2,4,3,5,41.739,41.739
2,5,2,1,3,5,5,3,5,5,2,1,3,1,3,2,5,3,2,2,5,1,3,3,4,3,1,3,1,3,4,4,1,4,3,4,42.981,42.981
2,1,1,5,5,3,3,3,5,3,1,3,3,5,4,3,4,1,5,1,2,2,1,2,2,4,3,2,5,4,2,1,5,4,5,3,42.41,42.41
5,2,2,3,2,1,5,1,5,1,1,1,5,3,3,5,2,1,2,3,5,3,4,4,5,1,4,2,1,3,3,3,4,3,2,5,42.633,42.633
3,1,2,5,2,5,2,2,4,5,2,2,4,2,3,2,5,5,2,4,1,5,2,1,3,1,4,1,1,5,5,4,2,4,2,4,42.882,42.882
4,3,5,3,4,5,1,5,3,3,4,1,1,3,5,1,2,5,2,1,1,5,4,1,2,2,3,2,3,2,3,5,3,5,5,3,43.482,43.482
4,4,2,2,4,5,5,3,2,2,4,4,3,5,4,3,4,1,2,2,4,1,1,3,1,3,3,2,1,5,1,5,2,2,4,1,40.276,40.276
4,3,1,1,3,1,5,3,4,3,5,3,5,1,3,1,5,4,3,1,4,5,3,1,1,2,5,3,3,3,5,2,5,2,5,1,43.336,43.336
1,1,1,2,5,1,4,4,3,5,4,2,5,4,1,5,1,4,1,3,1,2,2,2,1,3,5,4,1,5,5,2,5,3,4,4,43.038,43.038
2,5,4,4,2,4,1,3,1,4,4,4,1,4,5,4,2,1,3,4,2,5,4,4,3,5,2,1,4,2,3,2,2,1,4,3,44.179,44.179
4,5,5,1,5,1,5,5,4,3,4,3,5,1,5,5,2,2,4,2,5,2,1,5,3,3,4,2,3,2,2,1,2,3,5,3,46.231,46.231
1,2,2,5,3,2,3,5,5,2,1,1,3,3,5,5,5,5,5,3,2,5,4,1,5,2,1,1,2,3,4,2,4,3,2,2,43.588,43.588
3,2,1,2,3,1,4,3,4,4,5,1,2,3,4,4,3,2,1,1,4,2,3,5,5,1,4,3,4,1,2,5,3,1,5,3,42.066,42.066
3,2,2,3,5,4,4,1,4,5,5,3,2,1,3,3,2,1,2,3,4,2,3,3,2,5,3,1,4,5,2,4,5,1,1,5,43.179,43.179
4,2,4,4,1,2,4,4,2,1,5,5,5,4,3,1,3,2,1,4,3,5,2,1,3,4,5,5,4,2,5,3,1,2,2,5,44.709,44.709
